Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C34, C35, C4",1206,6,100n,
"C10, C5",1206,2,0.22u,
"C29, C6, C7",1206,3,22u,
"C32, C33",1206,2,10p,
C36,1206,1,10u,
C9,1206,1,10n,
J1,TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,1,Conn_01x02_Socket,
"J10, J2, J6, J7",Molex_Micro-Fit_3.0_43045-0812_2x04_P3.00mm_Vertical,4,Conn_01x08_Pin,
"J3, J5","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",2,Conn_01x04,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J8, J9",Molex_Micro-Fit_3.0_43045-0612_2x03_P3.00mm_Vertical,2,Conn_01x06_Pin,
PWR1,1206,1,GREEN,
"R1, R2",1206,2,1k,
"R13, R16, R3, R4, R5, R6",1206,6,10k,
"R14, R15",1206,2,4k7,
R17,1206,1,1k5,
SW1,SW_Push_1P1T_NO_CK_KSC9xxG,1,SW_Push_Dual,
SW2,SW_SPDT_PCM12,1,SW_SPDT,
U1,SOIC-16W_7.5x10.3mm_P1.27mm,1,MAX3232,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,LGA-24L_3x3.5mm_P0.43mm,1,LSM9DS1,
U8,LQFP-64_10x10mm_P0.5mm,1,STM32G0B1RETx,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,24MHz,
