Designator,Mid X,Mid Y,Layer,Rotation
"CN5","96.73mm","43.514mm","Top","90"
"CN6","48.47mm","36.91mm","Top","270"
"CN8","48.47mm","16.59mm","Top","270"
"CN9","96.73mm","19.13mm","Top","90"
"J1","86.5mm","8.5mm","Top","90"
"J2","95.5mm","64.75mm","Top","90"
"J3","74.06mm","64.75mm","Top","90"
"J4","66.83mm","28.25mm","Top","90"
"J5","70.34mm","47.75mm","Top","90"
"J6","49.23mm","57.35mm","Top","0"
"PWR1","58.75mm","8.5mm","Top","0"
"R1","53.25mm","8.5mm","Top","180"
"R2","90.25mm","55.0mm","Top","0"
"R3","90.25mm","52.5mm","Top","180"
"R4","63.5mm","23.25mm","Top","0"
"RESET1","86.35mm","21.0mm","Top","0"
