Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,100n,
CN5,1*10P_FEMALE,1,Header 10X1_Female,
"CN6, CN9",1*8P_FEMALE,2,Header 8X1_Female,
CN8,1*6P_FEMALE,1,Header 6X1_Female,
"J1, J7",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Socket,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_01x06_Pin,
J4,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
J5,PinHeader_1x09_P2.54mm_Vertical,1,Conn_01x09_Socket,
PWR1,1206,1,GREEN,
R1,1206,1,120,
"R2, R3, R4",1206,3,4k7,
RESET1,SW_Push_1P1T_NO_CK_PTS125Sx43SMTR,1,SW_Push_Dual,
